idx,label,prob,pred
0,0,0.8090990781784058,1
1,0,0.8090782761573792,1
2,0,0.809500515460968,1
3,0,0.8094111084938049,1
4,0,0.8091874718666077,1
5,0,0.8096221089363098,1
6,0,0.8092570304870605,1
7,0,0.8093487024307251,1
8,0,0.8095722794532776,1
9,0,0.8095914721488953,1
10,0,0.8095040321350098,1
11,0,0.8090991973876953,1
12,0,0.8097835183143616,1
13,0,0.8095706105232239,1
14,0,0.8098306655883789,1
15,1,0.8094751238822937,1
16,1,0.8094154000282288,1
17,1,0.8094850778579712,1
18,1,0.8095942735671997,1
19,1,0.8095299005508423,1
20,1,0.8095842003822327,1
21,1,0.809646725654602,1
22,1,0.809666633605957,1
23,1,0.809607744216919,1
24,1,0.8095625042915344,1
25,1,0.809859573841095,1
26,1,0.8094223737716675,1
27,1,0.8095306158065796,1
28,1,0.8095735907554626,1
29,1,0.8094639182090759,1
30,1,0.8094608783721924,1
31,1,0.8099009990692139,1
32,1,0.8090642094612122,1
33,1,0.8091447949409485,1
34,1,0.8093940615653992,1
35,1,0.809700071811676,1
36,1,0.8092745542526245,1
37,1,0.8094816207885742,1
38,1,0.8095575571060181,1
39,1,0.8095124363899231,1
40,1,0.8093108534812927,1
41,1,0.8097642660140991,1
42,1,0.8099871873855591,1
43,1,0.8097383379936218,1
44,1,0.8094737529754639,1
45,1,0.8092746734619141,1
46,1,0.8096234202384949,1
47,1,0.8096715807914734,1
48,1,0.8094358444213867,1
49,1,0.8092367649078369,1
50,1,0.810048520565033,1
51,1,0.8097075819969177,1
52,1,0.8097173571586609,1
53,1,0.8097904324531555,1
54,1,0.8098839521408081,1
55,1,0.8094133734703064,1
56,1,0.8093323111534119,1
57,1,0.8096336126327515,1
58,1,0.8094949126243591,1
59,1,0.8092331290245056,1
60,1,0.8094647526741028,1
61,1,0.8091873526573181,1
62,1,0.8093871474266052,1
63,1,0.80918949842453,1
64,1,0.8090912699699402,1
65,1,0.809759795665741,1
66,1,0.8099052906036377,1
67,1,0.8096494078636169,1
68,1,0.8095816373825073,1
69,1,0.8099110126495361,1
70,1,0.8095517158508301,1
71,1,0.8094908595085144,1
72,1,0.8098933696746826,1
73,1,0.8096150159835815,1
74,1,0.8093402981758118,1
75,1,0.8096082210540771,1
76,1,0.8096107244491577,1
