idx,label,prob,pred@0.5,pred@youden
0,0,0.7387356162071228,1,0
1,0,0.7532545924186707,1,0
2,0,0.8182879686355591,1,1
3,0,0.792803943157196,1,0
4,0,0.7644971609115601,1,0
5,0,0.7888655066490173,1,0
6,0,0.7241193056106567,1,0
7,0,0.7953791618347168,1,0
8,0,0.7702773213386536,1,0
9,0,0.7984323501586914,1,0
10,0,0.8080608248710632,1,1
11,0,0.7422409057617188,1,0
12,0,0.8696958422660828,1,1
13,0,0.7606365084648132,1,0
14,0,0.8771762847900391,1,1
15,1,0.8141701221466064,1,1
16,1,0.7556058168411255,1,0
17,1,0.7675079703330994,1,0
18,1,0.7920835614204407,1,0
19,1,0.789556622505188,1,0
20,1,0.8002789616584778,1,1
21,1,0.8068690299987793,1,1
22,1,0.8021720051765442,1,1
23,1,0.8262011408805847,1,1
24,1,0.768168032169342,1,0
25,1,0.8738991618156433,1,1
26,1,0.753580629825592,1,0
27,1,0.7902646064758301,1,0
28,1,0.7923710942268372,1,0
29,1,0.7718503475189209,1,0
30,1,0.7588764429092407,1,0
31,1,0.8829622268676758,1,1
32,1,0.7329525351524353,1,0
33,1,0.7381694912910461,1,0
34,1,0.7690643668174744,1,0
35,1,0.797131359577179,1,0
36,1,0.7938110828399658,1,0
37,1,0.7720353007316589,1,0
38,1,0.7597032189369202,1,0
39,1,0.7752681970596313,1,0
40,1,0.7681963443756104,1,0
41,1,0.8743164539337158,1,1
42,1,0.8915500044822693,1,1
43,1,0.8649360537528992,1,1
44,1,0.7826753258705139,1,0
45,1,0.7942997217178345,1,0
46,1,0.7759688496589661,1,0
47,1,0.8020821213722229,1,1
48,1,0.7495585680007935,1,0
49,1,0.7440011501312256,1,0
50,1,0.8937644958496094,1,1
51,1,0.8042595386505127,1,1
52,1,0.8719433546066284,1,1
53,1,0.8580796122550964,1,1
54,1,0.8769405484199524,1,1
55,1,0.8015426397323608,1,1
56,1,0.7579039931297302,1,0
57,1,0.8344477415084839,1,1
58,1,0.8220580220222473,1,1
59,1,0.7577094435691833,1,0
60,1,0.7531379461288452,1,0
61,1,0.7401283383369446,1,0
62,1,0.8005403876304626,1,1
63,1,0.7402703762054443,1,0
64,1,0.7358541488647461,1,0
65,1,0.852247416973114,1,1
66,1,0.8742572665214539,1,1
67,1,0.8400481939315796,1,1
68,1,0.7733569145202637,1,0
69,1,0.8871979117393494,1,1
70,1,0.7755021452903748,1,0
71,1,0.8383544087409973,1,1
72,1,0.872347891330719,1,1
73,1,0.7737270593643188,1,0
74,1,0.7505219578742981,1,0
75,1,0.7960672378540039,1,0
76,1,0.8097012639045715,1,1
