idx,label,prob,pred@0.5,pred@youden
0,0,0.6253565549850464,1,0
1,0,0.5914401412010193,1,0
2,0,0.8232125043869019,1,1
3,0,0.7263725399971008,1,0
4,0,0.686596155166626,1,0
5,0,0.7385275959968567,1,0
6,0,0.5921289920806885,1,0
7,0,0.7879947423934937,1,0
8,0,0.7864506244659424,1,0
9,0,0.7173945903778076,1,0
10,0,0.7888572216033936,1,0
11,0,0.6202074885368347,1,0
12,0,0.9429887533187866,1,1
13,0,0.7789278626441956,1,0
14,0,0.927359938621521,1,1
15,1,0.7626125812530518,1,0
16,1,0.751524806022644,1,0
17,1,0.783317506313324,1,0
18,1,0.8433765172958374,1,1
19,1,0.8419860601425171,1,1
20,1,0.7342933416366577,1,0
21,1,0.8097298741340637,1,1
22,1,0.8710454702377319,1,1
23,1,0.8228968381881714,1,1
24,1,0.7443466782569885,1,0
25,1,0.9450479745864868,1,1
26,1,0.7419861555099487,1,0
27,1,0.8405212759971619,1,1
28,1,0.7575451731681824,1,0
29,1,0.7397695183753967,1,0
30,1,0.7500381469726562,1,0
31,1,0.9271008968353271,1,1
32,1,0.6182655096054077,1,0
33,1,0.6122101545333862,1,0
34,1,0.7784374952316284,1,0
35,1,0.8429144620895386,1,1
36,1,0.7293723821640015,1,0
37,1,0.7786693572998047,1,0
38,1,0.7181328535079956,1,0
39,1,0.7982039451599121,1,1
40,1,0.7410282492637634,1,0
41,1,0.9295542240142822,1,1
42,1,0.9477646350860596,1,1
43,1,0.9409986734390259,1,1
44,1,0.8393680453300476,1,1
45,1,0.6974744200706482,1,0
46,1,0.7625446319580078,1,0
47,1,0.8219745755195618,1,1
48,1,0.654752790927887,1,0
49,1,0.7030736804008484,1,0
50,1,0.949524998664856,1,1
51,1,0.8140577673912048,1,1
52,1,0.9114155173301697,1,1
53,1,0.9054017663002014,1,1
54,1,0.9293327331542969,1,1
55,1,0.7458125948905945,1,0
56,1,0.6266518831253052,1,0
57,1,0.8534993529319763,1,1
58,1,0.8362559676170349,1,1
59,1,0.6859399676322937,1,0
60,1,0.6498878598213196,1,0
61,1,0.635341465473175,1,0
62,1,0.7173851728439331,1,0
63,1,0.6697458028793335,1,0
64,1,0.6201940178871155,1,0
65,1,0.8985794186592102,1,1
66,1,0.9420341849327087,1,1
67,1,0.8520283699035645,1,1
68,1,0.7532377243041992,1,0
69,1,0.9443231821060181,1,1
70,1,0.7893833518028259,1,1
71,1,0.8138340711593628,1,1
72,1,0.9413608908653259,1,1
73,1,0.778110682964325,1,0
74,1,0.7321987152099609,1,0
75,1,0.7119989395141602,1,0
76,1,0.7663585543632507,1,0
