idx,label,prob,pred@0.5,pred@youden
0,0,0.8065329194068909,1,0
1,0,0.8065481185913086,1,0
2,0,0.8065680861473083,1,1
3,0,0.8065696358680725,1,1
4,0,0.8065573573112488,1,0
5,0,0.8065733313560486,1,1
6,0,0.8065663576126099,1,1
7,0,0.806546688079834,1,0
8,0,0.8065705299377441,1,1
9,0,0.8065630197525024,1,1
10,0,0.8065746426582336,1,1
11,0,0.8065353631973267,1,0
12,0,0.8065760731697083,1,1
13,0,0.8065544962882996,1,0
14,0,0.8065714836120605,1,1
15,1,0.8065711259841919,1,1
16,1,0.8065645098686218,1,1
17,1,0.806555449962616,1,0
18,1,0.806567370891571,1,1
19,1,0.8065746426582336,1,1
20,1,0.8065645098686218,1,1
21,1,0.8065292239189148,1,0
22,1,0.8065544366836548,1,0
23,1,0.8065487742424011,1,0
24,1,0.8065583109855652,1,1
25,1,0.806576132774353,1,1
26,1,0.8065681457519531,1,1
27,1,0.8065746426582336,1,1
28,1,0.8065662384033203,1,1
29,1,0.8065658211708069,1,1
30,1,0.8065643310546875,1,1
31,1,0.8065710067749023,1,1
32,1,0.8065633177757263,1,1
33,1,0.8065505623817444,1,0
34,1,0.8065711855888367,1,1
35,1,0.8065709471702576,1,1
36,1,0.8065552711486816,1,0
37,1,0.8065560460090637,1,0
38,1,0.8065680861473083,1,1
39,1,0.8065745234489441,1,1
40,1,0.8065575361251831,1,1
41,1,0.8065727949142456,1,1
42,1,0.8065727353096008,1,1
43,1,0.8065760731697083,1,1
44,1,0.8065750598907471,1,1
45,1,0.8065573573112488,1,0
46,1,0.8065585494041443,1,1
47,1,0.8065710067749023,1,1
48,1,0.8065705299377441,1,1
49,1,0.8065643310546875,1,1
50,1,0.8065722584724426,1,1
51,1,0.8065648078918457,1,1
52,1,0.8065720796585083,1,1
53,1,0.8065728545188904,1,1
54,1,0.806572437286377,1,1
55,1,0.80656898021698,1,1
56,1,0.8065473437309265,1,0
57,1,0.8065457344055176,1,0
58,1,0.8065448999404907,1,0
59,1,0.8065452575683594,1,0
60,1,0.8065691590309143,1,1
61,1,0.8065676093101501,1,1
62,1,0.8065688610076904,1,1
63,1,0.8065662384033203,1,1
64,1,0.8065676093101501,1,1
65,1,0.8065727949142456,1,1
66,1,0.8065760731697083,1,1
67,1,0.8065435886383057,1,0
68,1,0.8065582513809204,1,1
69,1,0.8065724968910217,1,1
70,1,0.8065712451934814,1,1
71,1,0.8065721988677979,1,1
72,1,0.8065760731697083,1,1
73,1,0.8065576553344727,1,1
74,1,0.80656898021698,1,1
75,1,0.8065631985664368,1,1
76,1,0.806521475315094,1,0
