idx,label,prob,pred@0.5,pred@youden
0,0,0.8586642742156982,1,0
1,0,0.8586452007293701,1,0
2,0,0.8587209582328796,1,1
3,0,0.8587009906768799,1,1
4,0,0.8586491346359253,1,0
5,0,0.8587213754653931,1,1
6,0,0.8585916757583618,1,0
7,0,0.8587039709091187,1,1
8,0,0.8587116599082947,1,1
9,0,0.8586583733558655,1,0
10,0,0.8587448596954346,1,1
11,0,0.8586634397506714,1,0
12,0,0.8588262796401978,1,1
13,0,0.8586916923522949,1,1
14,0,0.8587563037872314,1,1
15,1,0.8587132096290588,1,1
16,1,0.858701765537262,1,1
17,1,0.858697772026062,1,1
18,1,0.8587095141410828,1,1
19,1,0.8587430119514465,1,1
20,1,0.8586617112159729,1,0
21,1,0.8586609959602356,1,0
22,1,0.858710765838623,1,1
23,1,0.858677089214325,1,1
24,1,0.8586819171905518,1,1
25,1,0.858832597732544,1,1
26,1,0.858684241771698,1,1
27,1,0.8587425947189331,1,1
28,1,0.8587037920951843,1,1
29,1,0.8587014675140381,1,1
30,1,0.8587022423744202,1,1
31,1,0.8587670922279358,1,1
32,1,0.8586660027503967,1,1
33,1,0.8586559891700745,1,0
34,1,0.8586970567703247,1,1
35,1,0.8587246537208557,1,1
36,1,0.8586674928665161,1,1
37,1,0.8587062954902649,1,1
38,1,0.8586964011192322,1,1
39,1,0.8587327599525452,1,1
40,1,0.8586546778678894,1,0
41,1,0.8587881922721863,1,1
42,1,0.8588290810585022,1,1
43,1,0.85882169008255,1,1
44,1,0.8587518930435181,1,1
45,1,0.8586702346801758,1,1
46,1,0.8586896657943726,1,1
47,1,0.8587204217910767,1,1
48,1,0.8587059378623962,1,1
49,1,0.8586847186088562,1,1
50,1,0.858834445476532,1,1
51,1,0.8586584329605103,1,0
52,1,0.8587822914123535,1,1
53,1,0.8587746024131775,1,1
54,1,0.8587870597839355,1,1
55,1,0.8586883544921875,1,1
56,1,0.8586748838424683,1,1
57,1,0.8586861491203308,1,1
58,1,0.8586652874946594,1,1
59,1,0.8586783409118652,1,1
60,1,0.8586981296539307,1,1
61,1,0.8586558103561401,1,0
62,1,0.8587023019790649,1,1
63,1,0.8586757779121399,1,1
64,1,0.8586591482162476,1,0
65,1,0.8587670922279358,1,1
66,1,0.8588225841522217,1,1
67,1,0.8586920499801636,1,1
68,1,0.8586828112602234,1,1
69,1,0.8588212728500366,1,1
70,1,0.8587207794189453,1,1
71,1,0.8587546348571777,1,1
72,1,0.8588173985481262,1,1
73,1,0.8586746454238892,1,1
74,1,0.8586733937263489,1,1
75,1,0.8586658239364624,1,1
76,1,0.858655571937561,1,0
